sim_year_month,loan_volume,default_rate,avg_loan_amt,default_rate_pct
2023-01-01,1013,0.2428430404738401,9635.46396841066,24.28430404738401
2023-02-01,945,0.22857142857142856,9568.677248677248,22.857142857142858
2023-03-01,936,0.21794871794871795,9701.896367521367,21.794871794871796
2023-04-01,876,0.19863013698630136,9866.952054794521,19.863013698630137
2023-05-01,756,0.2261904761904762,10038.161375661375,22.61904761904762
2023-06-01,735,0.2503401360544218,9430.986394557824,25.03401360544218
2023-07-01,762,0.2388451443569554,9984.186351706037,23.88451443569554
2023-08-01,791,0.23008849557522124,9233.786346396966,23.008849557522122
2023-09-01,883,0.22083805209513024,9352.37825594564,22.083805209513024
2023-10-01,908,0.22026431718061673,9470.099118942731,22.026431718061673
2023-11-01,1053,0.2174738841405508,9690.337132003799,21.74738841405508
2023-12-01,1102,0.22595281306715065,9625.725952813067,22.595281306715066
2024-01-01,1051,0.22359657469077068,9471.313035204566,22.359657469077067
2024-02-01,933,0.2240085744908896,9864.389067524116,22.40085744908896
2024-03-01,948,0.1940928270042194,9263.343881856541,19.40928270042194
2024-04-01,832,0.21995192307692307,9584.495192307691,21.995192307692307
2024-05-01,820,0.22682926829268293,9849.359756097561,22.682926829268293
2024-06-01,732,0.17896174863387979,9235.792349726777,17.89617486338798
2024-07-01,818,0.21271393643031786,9372.860635696821,21.271393643031786
2024-08-01,808,0.22277227722772278,9409.993811881188,22.277227722772277
2024-09-01,800,0.21125,9400.71875,21.125
2024-10-01,946,0.21987315010570824,9647.885835095138,21.987315010570825
2024-11-01,1071,0.223155929038282,9548.692810457516,22.3155929038282
2024-12-01,1128,0.2375886524822695,9291.179078014184,23.75886524822695
2025-01-01,1055,0.2009478672985782,9418.364928909952,20.09478672985782
2025-02-01,947,0.2238648363252376,9760.902851108765,22.38648363252376
2025-03-01,865,0.1930635838150289,9664.537572254336,19.30635838150289
2025-04-01,847,0.20425029515938606,9859.917355371901,20.425029515938604
2025-05-01,781,0.20742637644046094,9663.732394366198,20.742637644046095
2025-06-01,786,0.227735368956743,9831.552162849874,22.7735368956743
2025-07-01,753,0.20717131474103587,9514.077025232404,20.717131474103585
2025-08-01,789,0.19771863117870722,9485.329531051964,19.771863117870723
2025-09-01,856,0.22780373831775702,9916.997663551401,22.7803738317757
2025-10-01,905,0.22209944751381216,9329.502762430939,22.209944751381215
2025-11-01,1026,0.2300194931773879,9769.785575048732,23.00194931773879
2025-12-01,1142,0.21103327495621715,9654.225043782837,21.103327495621716
